#TYPE Microsoft.Windows.ServerManager.Commands.Feature
"Name","DisplayName","Description","Installed","InstallState","FeatureType","Path","Depth","DependsOn","Parent","ServerComponentDescriptor","SubFeatures","SystemService","Notification","BestPracticesModelId","EventQuery","PostConfigurationNeeded","AdditionalInfo"
"Web-Ftp-Service","FTP サービス","FTP サービスでは、Web サーバー上で FTP 公開を使用できます。","False","Available","Role Service","Web サーバー (IIS)\FTP サーバー\FTP サービス","3","System.String[]","Web-Ftp-Server","ServerComponent_Web_Ftp_Service","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Ftp-Ext","FTP 拡張","FTP 拡張により、カスタム プロバイダー、ASP.NET ユーザー、IIS マネージャーのユーザーなどの FTP 拡張機能をサポートできます。","False","Available","Role Service","Web サーバー (IIS)\FTP サーバー\FTP 拡張","3","System.String[]","Web-Ftp-Server","ServerComponent_Web_Ftp_Ext","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Mgmt-Tools","管理ツール","管理ツールは、IIS 10 を実行する Web サーバーを管理するインフラストラクチャを提供します。IIS ユーザー インターフェイス、コマンドライン ツール、およびスクリプトを使用して Web サーバーを管理できます。また、構成ファイルを直接編集できます。","False","Available","Role Service","Web サーバー (IIS)\管理ツール","2","System.String[]","Web-Server","ServerComponent_Web_Mgmt_Tools","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Mgmt-Console","IIS 管理コンソール","IIS 管理コンソールは、ユーザー インターフェイスを使用して IIS 10 を管理するインフラストラクチャを提供します。IIS 管理コンソールを使用して、IIS 10 を実行するローカルまたはリモート Web サーバーを管理できます。SMTP を管理するには、IIS 6 管理コンソールをインストールして使用する必要があります。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\IIS 管理コンソール","3","System.String[]","Web-Mgmt-Tools","ServerComponent_Web_Mgmt_Console","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Mgmt-Compat","IIS 6 管理互換","IIS 6 と互換性のある管理は、2 つの IIS API、Admin Base オブジェクト (ABO) および Active Directory Service Interface (ADSI) を使用するアプリケーションやスクリプトの下位互換性を提供します。既存の IIS 6 スクリプトを使用して IIS 10 Web サーバーを管理できます。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\IIS 6 管理互換","3","System.String[]","Web-Mgmt-Tools","ServerComponent_Web_Mgmt_Compat","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Metabase","IIS 6 メタベース互換","IIS 6 メタベース互換は、メタベースをクエリし構成するためのインフラストラクチャです。IIS 6 メタベース互換を使用すると、以前のバージョンの IIS から移行された、Admin Base オブジェクト (ABO) API や Active Directory サービス インターフェイス (ADSI) API を使用するアプリケーションやスクリプトを実行できるようになります。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\IIS 6 管理互換\IIS 6 メタベース互換","4","System.String[]","Web-Mgmt-Compat","ServerComponent_Web_Metabase","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-WMI","IIS 6 WMI 互換","IIS 6 WMI 互換性は、Windows Management Instrumentation (WMI) スクリプト インターフェイスを提供し、WMI プロバイダーで作成した一連のスクリプトから、IIS 10.0 Web サーバーのタスクをプログラム的に 管理したり自動化したりできるようにします。このサービスには、サイトを管理するための WMI CIM Studio、WMI Event Registration、WMI Event Viewer、および WMI Object Browser ツールが含まれています。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\IIS 6 管理互換\IIS 6 WMI 互換","4","System.String[]","Web-Mgmt-Compat","ServerComponent_Web_WMI","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Lgcy-Scripting","IIS 6 スクリプト ツール","IIS 6 スクリプト ツールは、特に、アプリケーションおよびスクリプトが ActiveX Data Objects (ADO) または Active Directory Service Interface (ADSI) API を使用している場合に、IIS 10 内の IIS 6 を管理するために作成した IIS 6 スクリプト ツールを引き続き使用できるようにします。IIS 6 スクリプト ツールは Windows プロセス アクティブ化サービスの構成 API を必要とします。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\IIS 6 管理互換\IIS 6 スクリプト ツール","4","System.String[]","Web-Mgmt-Compat","ServerComponent_Web_Lgcy_Scripting","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Lgcy-Mgmt-Console","IIS 6 管理コンソール","IIS 6 管理コンソールは、このコンピューターからリモートの IIS 6.0 サーバーを管理するためのインフラストラクチャです。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\IIS 6 管理互換\IIS 6 管理コンソール","4","System.String[]","Web-Mgmt-Compat","ServerComponent_Web_Lgcy_Mgmt_Console","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Scripting-Tools","IIS 管理スクリプトおよびツール","IIS 管理スクリプトおよびツールは、コマンド ウィンドウでコマンドを使用するかスクリプトを実行して、IIS 10 Web サーバーをプログラムで管理するためのインフラストラクチャを提供します。これらのツールは、バッチ ファイル内のコマンドを自動化する場合や、ユーザー インターフェイスを使用して IIS を管理する際のオーバーヘッドを避ける場合に使用できます。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\IIS 管理スクリプトおよびツール","3","System.String[]","Web-Mgmt-Tools","ServerComponent_Web_Scripting_Tools","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Mgmt-Service","管理サービス","管理サービスにより、IIS マネージャーを使用して Web サーバーを別のコンピューターからリモートで管理できます。","False","Available","Role Service","Web サーバー (IIS)\管理ツール\管理サービス","3","System.String[]","Web-Mgmt-Tools","ServerComponent_Web_Mgmt_Service","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"UpdateServices","Windows Server Update Services","Windows Server Update Services を使用すると、ネットワーク管理者は、インストールする必要がある Microsoft 更新プログラムを指定して、異なる更新プログラム セットに対応する複数のコンピューター グループを作成したり、コンピューターの準拠レベルやインストールする必要がある更新プログラムに関するレポートを取得したりできます。","False","Available","Role","Windows Server Update Services","1","System.String[]",,"ServerComponent_UpdateServices","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/UpdateServices","WindowsServerUpdateServices.Events.xml","False","System.Collections.Hashtable"
"UpdateServices-WidDB","WID Connectivity","WSUS で使用されるデータベースを WID にインストールします。","False","Available","Role Service","Windows Server Update Services\WID Connectivity","2","System.String[]","UpdateServices","ServerComponent_UpdateServices_WidDB","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"UpdateServices-Services","WSUS Services","Windows Server Update Services で使用される次のサービスをインストールします: 更新サービス、レポート Web サービス、API リモート Web サービス、クライアント Web サービス、簡易 Web 認証 Web サービス、サーバー同期 Web サービス、DSS 認証 Web サービス。","False","Available","Role Service","Windows Server Update Services\WSUS Services","2","System.String[]","UpdateServices","ServerComponent_UpdateServices_Services","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"UpdateServices-DB","SQL Server Connectivity","WSUS を Microsoft SQL Server データベースに接続するための機能をインストールします。","False","Available","Role Service","Windows Server Update Services\SQL Server Connectivity","2","System.String[]","UpdateServices","ServerComponent_UpdateServices_Database","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"WDS","Windows 展開サービス","Windows 展開サービスを使用すると、簡単で安全な方法により、ネットワーク上のコンピューターにリモートから Windows オペレーティング システムをすばやく展開できます。","False","Available","Role","Windows 展開サービス","1","System.String[]",,"ServerComponent_WDS","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","WindowsDeploymentServices.Events.xml","False","System.Collections.Hashtable"
"WDS-Transport","トランスポート サーバー","トランスポート サーバーは、Windows 展開サービスの機能のサブセットを提供します。これには中核的なネットワーク機能のみが含まれ、スタンドアロンのサーバー上でデータをマルチキャスト配信する場合に使用できます。データをマルチキャスト配信する必要があり、Windows 展開サービス全体を組み込まない場合には、この役割サービスを使用してください。","False","Available","Role Service","Windows 展開サービス\トランスポート サーバー","2","System.String[]","WDS","ServerComponent_WDS_Transport","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"WDS-Deployment","展開サーバー","展開サーバーは、Windows 展開サービスのすべての機能を提供します。これらの機能を使用して、Windows オペレーティング システムを構成し、リモートからインストールできます。Windows 展開サービスを使用すると、イメージを作成してカスタマイズし、そのイメージを基にコンピューターを再構築できます。展開サーバーは、トランスポート サーバーの中核部分に依存します。","False","Available","Role Service","Windows 展開サービス\展開サーバー","2","System.String[]","WDS","ServerComponent_WDS_Deployment","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"DeviceHealthAttestationService","デバイス正常性構成証明","デバイス正常性構成証明","False","Available","Role","デバイス正常性構成証明","1","System.String[]",,"ServerComponent_DeviceHealthAttestationService","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","DeviceHealthAttestation.events.xml","False","System.Collections.Hashtable"
"NPAS","ネットワーク ポリシーとアクセス サービス","ネットワーク ポリシーとアクセス サービスが提供するネットワーク ポリシー サーバー (NPS) は、ネットワークのセキュリティの保護に役立ちます。","False","Available","Role","ネットワーク ポリシーとアクセス サービス","1","System.String[]",,"ServerComponent_NPAS","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/NPAS","NetworkPolicyAndAccessServices.Events.xml","False","System.Collections.Hashtable"
"FileAndStorage-Services","ファイル サービスと記憶域サービス","ファイル サービスおよび記憶域サービスには、常にインストールされるサービスと、ファイル サーバーおよび記憶域の管理に役立てるためにインストールできる機能が含まれています。","True","Installed","Role","ファイル サービスと記憶域サービス","1","System.String[]",,"ServerComponent_FileAndStorage_Services","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/FileServices","FileServer.Events.xml","False","System.Collections.Hashtable"
"File-Services","ファイル サービスおよび iSCSI サービス","ファイルおよび iSCSI サービスは、ファイル サーバーと記憶域の管理、ディスク領域使用率の削減、ブランチ オフィスへのファイルのレプリケートとキャッシュ、別のクラスター ノードへのファイル共有の移動またはフェールオーバー、および NFS プロトコルを使用したファイルの共有に役立つテクノロジを提供します。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス","2","System.String[]","FileAndStorage-Services","ServerComponent_File_Services","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-FileServer","ファイル サーバー","ファイル サーバーは共有フォルダーを管理します。ユーザーはこのコンピューター上のファイルにネットワークからアクセスできます。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\ファイル サーバー","3","System.String[]","File-Services","ServerComponent_FS_FileServer","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-DFS-Replication","DFS レプリケーション","DFS レプリケーションはマルチマスター レプリケーション エンジンであり、これを使用することでローカルまたはワイド エリア ネットワーク (WAN) のネットワーク接続全体にわたる複数のサーバー上のフォルダーを同期できます。DFS レプリケーションでは、RDC (Remote Differential Compression) プロトコルを使用して最終レプリケーション時以後に変更されたファイルの部分のみを更新します。DFS レプリケーションは、DFS 名前空間と組み合わせて使用することも、単独で使用することもできます。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\DFS レプリケーション","3","System.String[]","File-Services","ServerComponent_FS_DFS_Replication","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-DFS-Namespace","DFS 名前空間","DFS 名前空間は、異なるファイル サーバー上にある共有フォルダーを 1 つまたは複数の論理的に構造化された名前空間に集約します。各名前空間は、ユーザーに対して一連のサブフォルダーを格納した単一の共有フォルダーとして表示されます。しかし、名前空間以下の構成には、複数のサイトにある異なるサーバー上の多数の共有フォルダーが含まれることがあります。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\DFS 名前空間","3","System.String[]","File-Services","ServerComponent_FS_DFS_Namespace","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-iSCSITarget-Server","iSCSI ターゲット サーバー","iSCSI ターゲット サーバーは、iSCSI ターゲットのサービスと管理ツールを提供します。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\iSCSI ターゲット サーバー","3","System.String[]","File-Services","ServerComponent_FS_iSCSITarget_Server","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"iSCSITarget-VSS-VDS","iSCSI ターゲット記憶域プロバイダー (VDS および VSS ハードウェア プロバイダー)","iSCSI ターゲット記憶域プロバイダーを使用して、iSCSI ターゲットに接続されているサーバー上のアプリケーションで、iSCSI 仮想ディスク上のデータのボリューム シャドウ コピーを実行できます。また、Diskraid コマンドなど、仮想ディスク サービス (VDS) ハードウェア プロバイダーが必要な古いアプリケーションを使用して、iSCSI 仮想ディスクを管理することもできます。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\iSCSI ターゲット記憶域プロバイダー (VDS および VSS ハードウェア プロバイダー)","3","System.String[]","File-Services","ServerComponent_iSCSITarget_VSS_VDS","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-NFS-Service","NFS サーバー","NFS サーバーを使用すると、このコンピューターで、UNIX ベースのコンピューターや、ネットワーク ファイル システム (NFS) プロトコルを使用するその他のコンピューターとファイルを共有できるようになります。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\NFS サーバー","3","System.String[]","File-Services","ServerComponent_FS_NFS_Service","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-Data-Deduplication","データ重複除去","データ重複除去では、ボリューム上の同一データの単一コピーを保存してディスク領域を節約できます。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\データ重複除去","3","System.String[]","File-Services","ServerComponent_FS_Data_Deduplication","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-BranchCache","ネットワーク ファイル用 BranchCache","ネットワーク ファイル用 BranchCache により、このファイル サーバーで BranchCache のサポートが提供されます。BranchCache は、本社のコンテンツ サーバーからのコンテンツを支社の場所にキャッシュして、支社のクライアント コンピューターでワイド エリア ネットワーク (WAN) を介さずにローカルにコンテンツにアクセスできるようにする、WAN 帯域幅の最適化テクノロジです。インストールの完了後、フォルダーを共有し、グループ ポリシーまたはローカル コンピューター ポリシーを使用して共有フォルダーのハッシュ生成を有効にする必要があります。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\ネットワーク ファイル用 BranchCache","3","System.String[]","File-Services","ServerComponent_FS_BranchCache","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-VSS-Agent","ファイル サーバー VSS エージェント サービス","ファイル サーバー VSS エージェント サービスを使用すると、このファイル サーバー上にデータ ファイルを保存するアプリケーションのボリューム シャドウ コピーを実行できます。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\ファイル サーバー VSS エージェント サービス","3","System.String[]","File-Services","ServerComponent_FS_VSS_Agent","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-Resource-Manager","ファイル サーバー リソース マネージャー","ファイル サーバー リソース マネージャーは、ファイル管理タスクと記憶域レポートのスケジューリング、ファイルとフォルダーの分類、フォルダーのクォータの構成、およびファイル スクリーン処理ポリシーの定義によって、ファイル サーバー上のファイルとフォルダーの管理と理解を容易にします。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\ファイル サーバー リソース マネージャー","3","System.String[]","File-Services","ServerComponent_FS_Resource_Manager","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"FS-SyncShareService","ワーク フォルダー","ワーク フォルダーにより、作業デバイスや個人用デバイスなど、さまざまなコンピューターから作業ファイルを使用する方法が提供されます。ワーク フォルダーを使用すると、ユーザーがファイルにネットワーク内からアクセスするか、インターネット経由でアクセスするかに関係なく、ユーザー ファイルをホストし、同期を保つことができます。","False","Available","Role Service","ファイル サービスと記憶域サービス\ファイル サービスおよび iSCSI サービス\ワーク フォルダー","3","System.String[]","File-Services","ServerComponent_FS_SyncShareService","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Storage-Services","記憶域サービス","記憶域サービスは、常にインストールされて削除できない記憶域管理機能を提供します。","True","Installed","Role Service","ファイル サービスと記憶域サービス\記憶域サービス","2","System.String[]","FileAndStorage-Services","ServerComponent_Storage_Services","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"VolumeActivation","ボリューム ライセンス認証サービス","ボリューム ライセンス認証サービスを使用することで、キー管理サービス (KMS) ホスト キーの管理と、ネットワークにおけるボリューム キーの認証インフラストラクチャの管理が自動化され、容易になります。このサービスがあれば、KMS ホストのインストールと管理を実行したり、ドメインに参加しているシステムのボリューム ライセンス認証を実行するために Microsoft Active Directory によるライセンス認証を構成したりできます。","False","Available","Role","ボリューム ライセンス認証サービス","1","System.String[]",,"ServerComponent_VolumeActivation","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/VolumeActivation","VolumeActivation.Events.xml","False","System.Collections.Hashtable"
"RemoteAccess","リモート アクセス","リモート アクセスでは、DirectAccess、VPN、および Web アプリケーション プロキシを介したシームレスな接続が可能です。DirectAccess は、常に有効で、常に管理されているエクスペリエンスを提供します。RAS は、サイト間 (支社やクラウドベース) 接続を含む従来の VPN サービスを提供します。Web アプリケーション プロキシでは、選択した HTTP ベースおよび HTTPS ベースのアプリケーションを企業ネットワークから企業ネットワークの外部のクライアント デバイスに公開できます。ルーティングは、NAT やその他の接続オプションを含む従来のルーティング機能を提供します。RAS およびルーティングは、シングルテナント モードでもマルチテナント モードでも展開できます。","False","Available","Role","リモート アクセス","1","System.String[]",,"ServerComponent_RemoteAccess","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/RemoteAccessServer","RemoteAccess.Events.xml","False","System.Collections.Hashtable"
"DirectAccess-VPN","DirectAccess および VPN (RAS)","DirectAccess は、ユーザーがインターネットにアクセスできるときに、企業ネットワークにシームレスに接続できるようにします。DirectAccess を使用すると、インターネットに接続しているモバイル コンピューターを管理できるため、セキュリティとシステム正常性に関する最新のポリシーをモバイル ユーザーに適用できます。VPN では、インターネット接続およびトンネリングとデータ暗号化技術の組み合わせを使用して、リモート クライアントおよびリモート オフィスに接続します。","False","Available","Role Service","リモート アクセス\DirectAccess および VPN (RAS)","2","System.String[]","RemoteAccess","ServerComponent_DirectAccess_VPN","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Web-Application-Proxy","Web アプリケーション プロキシ","Web アプリケーション プロキシにより、選択した HTTP および HTTPS ベースのアプリケーションを企業ネットワークから外部のクライアント デバイスに公開することが可能になります。AD FS を使用して、公開されたアプリケーションへのアクセスをユーザーが取得する前に、確実にユーザーが認証されるように管理できます。Web アプリケーション プロキシは、AD FS サーバーを対象としたプロキシ機能も提供します。","False","Available","Role Service","リモート アクセス\Web アプリケーション プロキシ","2","System.String[]","RemoteAccess","ServerComponent_Web_Application_Proxy","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/FederationServices","","False","System.Collections.Hashtable"
"Routing","ルーティング","ルーティングを利用すると、NAT ルーター、BGP、RIP を実行する LAN ルーター、およびマルチキャスト対応ルーター (IGMP プロキシ) がサポートされます。","False","Available","Role Service","リモート アクセス\ルーティング","2","System.String[]","RemoteAccess","ServerComponent_Routing","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Remote-Desktop-Services","リモート デスクトップ サービス","リモート デスクトップ サービスを使用すると、ユーザーが仮想デスクトップ、セッション ベースのデスクトップ、および RemoteApp プログラムにアクセスできるようになります。仮想マシン ベースまたはセッション ベースのデスクトップ展開を構成するには、リモート デスクトップ サービスのインストールを使用します。","False","Available","Role","リモート デスクトップ サービス","1","System.String[]",,"ServerComponent_Remote_Desktop_Services","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","Microsoft/Windows/TerminalServices","RemoteDesktop.Events.xml","False","System.Collections.Hashtable"
"RDS-RD-Server","Remote Desktop Session Host","Remote Desktop Session Host (RD Session Host) enables a server to host RemoteApp programs or session-based desktops. Users can connect to RD Session Host servers in a session collection to run programs, save files, and use resources on those servers. Users can access an RD Session Host server by using the Remote Desktop Connection client or by using RemoteApp programs.","False","Available","Role Service","リモート デスクトップ サービス\Remote Desktop Session Host","2","System.String[]","Remote-Desktop-Services","ServerComponent_RDS_RD_Server","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","TerminalServer.Events.xml","False","System.Collections.Hashtable"
"RDS-Web-Access","リモート デスクトップ Web アクセス","リモート デスクトップ Web アクセス (RD Web アクセス) を使用すると、ユーザーは、[スタート] メニューまたは Web ブラウザーから RemoteApp とデスクトップ接続にアクセスできます。RemoteApp とデスクトップ接続により、ユーザーはカスタマイズされたビューで RemoteApp プログラム、セッション ベースのデスクトップ、および仮想デスクトップを使用できます。","False","Available","Role Service","リモート デスクトップ サービス\リモート デスクトップ Web アクセス","2","System.String[]","Remote-Desktop-Services","ServerComponent_RDS_Web_Access","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","TSWebAccess.xml","False","System.Collections.Hashtable"
"RDS-Gateway","リモート デスクトップ ゲートウェイ","リモート デスクトップ ゲートウェイ (RD ゲートウェイ) を使用すると、承認されたユーザーは、企業ネットワークまたはインターネット上の仮想デスクトップ、RemoteApp プログラム、およびセッション ベースのデスクトップに接続できます。","False","Available","Role Service","リモート デスクトップ サービス\リモート デスクトップ ゲートウェイ","2","System.String[]","Remote-Desktop-Services","ServerComponent_RDS_Gateway","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","TSGateway.xml","False","System.Collections.Hashtable"
"RDS-Licensing","リモート デスクトップ ライセンス","リモート デスクトップ ライセンス (RD ライセンス) では、リモート デスクトップ セッション ホスト サーバーまたは仮想デスクトップへの接続に必要なライセンスを管理します。RD ライセンスを使用すると、ライセンスのインストールと発行を行ったり、ライセンスが使用可能かどうかを追跡したりできます。","False","Available","Role Service","リモート デスクトップ サービス\リモート デスクトップ ライセンス","2","System.String[]","Remote-Desktop-Services","ServerComponent_RDS_Licensing","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","TSLicensing.Events.xml","False","System.Collections.Hashtable"
"RDS-Virtualization","リモート デスクトップ仮想化ホスト","リモート デスクトップ仮想化ホスト (RD 仮想化ホスト) を使用すると、ユーザーは RemoteApp とデスクトップ接続を使用して仮想デスクトップに接続できます。","False","Available","Role Service","リモート デスクトップ サービス\リモート デスクトップ仮想化ホスト","2","System.String[]","Remote-Desktop-Services","ServerComponent_RDS_Virtualization","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"RDS-Connection-Broker","リモート デスクトップ接続ブローカー","リモート デスクトップ接続ブローカー (RD 接続ブローカー) を使用すると、ユーザーは既存の仮想デスクトップ、RemoteApp プログラム、およびセッション ベースのデスクトップに再接続できます。セッション コレクション内の RD セッション ホスト サーバー、またはプールされた仮想デスクトップ コレクション内のプールされた仮想デスクトップでの負荷分散が可能で、仮想デスクトップ コレクション内の仮想デスクトップにアクセスできます。","False","Available","Role Service","リモート デスクトップ サービス\リモート デスクトップ接続ブローカー","2","System.String[]","Remote-Desktop-Services","ServerComponent_RDS_Connection_Broker","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","TSSessionDirectory.Events.xml","False","System.Collections.Hashtable"
"Print-Services","印刷とドキュメント サービス","Print and Document Services enables you to centralize print server and network printer management tasks.","False","Available","Role","印刷とドキュメント サービス","1","System.String[]",,"ServerComponent_Print_Services","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","PrintServices.Events.xml","False","System.Collections.Hashtable"
"Print-Server","プリント サーバー","プリント サーバーには印刷の管理スナップインが含まれており、複数のプリンターやプリント サーバーを管理したり、他の Windows プリント サーバーとの間でプリンターを移行したりするために使用できます。","False","Available","Role Service","印刷とドキュメント サービス\プリント サーバー","2","System.String[]","Print-Services","ServerComponent_Print_Server","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Print-LPD-Service","LPD サービス","ライン プリンター デーモン (LPD) サービスを使用すると、ライン プリンター リモート (LPR) サービスを使用する UNIX ベースのコンピューターやその他のコンピューターから、このサーバー上の共有プリンターに印刷することができます。","False","Available","Role Service","印刷とドキュメント サービス\LPD サービス","2","System.String[]","Print-Services","ServerComponent_Print_LPD_Service","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
"Print-Internet","インターネット印刷","インターネット印刷で作成される Web サイトでは、サーバー上の印刷ジョブをユーザーが管理できます。また、ユーザーがインターネット印刷クライアントをインストールしている場合、ユーザーはインターネット印刷プロトコル (IPP) を使用して、Web ブラウザーからこのサーバー上の共有プリンターに接続し、印刷を実行できます。","False","Available","Role Service","印刷とドキュメント サービス\インターネット印刷","2","System.String[]","Print-Services","ServerComponent_Print_Internet","System.String[]","System.String[]","Microsoft.Windows.ServerManager.ServerComponentManager.Internal.Notification[]","","","False","System.Collections.Hashtable"
